iter	MultiClass
0	1.91017113
1	1.868250913
2	1.831027196
3	1.799752122
4	1.762601513
5	1.725550543
6	1.695939275
7	1.662527796
8	1.630599311
9	1.602104414
10	1.575654099
11	1.552660266
12	1.526117753
13	1.501133763
14	1.480514044
15	1.461581468
16	1.440253079
17	1.420645973
18	1.402587942
19	1.385415962
20	1.368855694
21	1.355362964
22	1.337248176
23	1.321749979
24	1.308229769
25	1.293069057
26	1.281527971
27	1.269628677
28	1.257769324
29	1.245306823
30	1.235436752
31	1.225963234
32	1.214663082
33	1.203833828
34	1.194754112
35	1.186373194
36	1.177633372
37	1.17106202
38	1.163647147
39	1.156591938
40	1.15002287
41	1.143041223
42	1.137331166
43	1.132053276
44	1.127253664
45	1.122152566
46	1.116524887
47	1.110565099
48	1.103955478
49	1.099346729
50	1.095121441
51	1.090559042
52	1.087479761
53	1.083538339
54	1.078078061
55	1.074571771
56	1.071057326
57	1.067945684
58	1.065448489
59	1.06187267
60	1.059132933
61	1.055329018
62	1.051196982
63	1.047349314
64	1.044019831
65	1.040954969
66	1.03777063
67	1.034829404
68	1.031587885
69	1.029248001
70	1.027093085
71	1.024346578
72	1.021678844
73	1.019492749
74	1.017100421
75	1.014330532
76	1.011560886
77	1.009877298
78	1.007933062
79	1.006392036
80	1.004426955
81	1.002617253
82	0.9998488253
83	0.9977338543
84	0.9954065465
85	0.9935659277
86	0.9922447999
87	0.9905590081
88	0.989051865
89	0.9871190639
90	0.9844144545
91	0.9827784247
92	0.9813641975
93	0.9799344924
94	0.9788444175
95	0.9769515717
96	0.9752592299
97	0.9735980739
98	0.9714596604
99	0.9703908991
100	0.9688407179
101	0.9675734261
102	0.9662002839
103	0.9650332417
104	0.9638948397
105	0.9624295505
106	0.9612152461
107	0.9596536134
108	0.9584198068
109	0.9575577105
110	0.9559603408
111	0.9548290707
112	0.9534011836
113	0.951828258
114	0.9499760422
115	0.9487164017
116	0.9481368134
117	0.9472848924
118	0.9460192045
119	0.9451977879
120	0.9440840382
121	0.9429373697
122	0.9416318413
123	0.940663888
124	0.9399355169
125	0.9389523134
126	0.9380314868
127	0.9373384695
128	0.9364744448
129	0.9353750472
130	0.9346789271
131	0.934001354
132	0.9326029654
133	0.9315744441
134	0.9305659564
135	0.9299511336
136	0.9291921975
137	0.9286669699
138	0.928012609
139	0.9272671637
140	0.9261697097
141	0.9255950411
142	0.9247216978
143	0.9240906185
144	0.9234483333
145	0.9221251707
146	0.9211804115
147	0.9206005391
148	0.9192063612
149	0.9185439769
150	0.9180375879
151	0.9171017548
152	0.9165289908
153	0.9158834503
154	0.9151078247
155	0.9144312615
156	0.9137727337
157	0.9132663308
158	0.9124591789
159	0.911929273
160	0.9111830787
161	0.9106767841
162	0.9099998216
163	0.9092454088
164	0.9086489023
165	0.908111709
166	0.9075637695
167	0.9072623726
168	0.9067236437
169	0.9059576947
170	0.9051667029
171	0.9045460755
172	0.9038645288
173	0.9033650854
174	0.9029562638
175	0.9022603896
176	0.9015720776
177	0.901076611
178	0.9006427489
179	0.9002744929
180	0.8999644252
