iter	Passed	Remaining
0	26	24003
1	49	22472
2	72	21932
3	96	21793
4	120	21824
5	144	21762
6	169	21895
7	207	23387
8	240	24108
9	272	24487
10	301	24679
11	332	24905
12	361	24911
13	388	24875
14	416	24828
15	443	24776
16	474	24915
17	506	25118
18	534	25054
19	567	25232
20	597	25297
21	628	25370
22	657	25366
23	687	25374
24	713	25260
25	741	25195
26	766	25066
27	791	24944
28	816	24797
29	841	24694
30	865	24533
31	894	24556
32	921	24482
33	947	24410
34	974	24367
35	1001	24317
36	1028	24272
37	1057	24271
38	1086	24259
39	1112	24197
40	1140	24172
41	1166	24099
42	1189	23993
43	1216	23946
44	1242	23874
45	1267	23815
46	1293	23748
47	1319	23690
48	1346	23658
49	1374	23648
50	1400	23583
51	1426	23544
52	1453	23507
53	1480	23468
54	1508	23445
55	1537	23447
56	1563	23403
57	1588	23339
58	1612	23259
59	1635	23173
60	1661	23117
61	1686	23072
62	1711	23008
63	1736	22960
64	1763	22925
65	1787	22855
66	1812	22808
67	1836	22742
68	1861	22688
69	1889	22673
70	1915	22632
71	1940	22584
72	1965	22538
73	1990	22484
74	2014	22433
75	2041	22401
76	2067	22370
77	2092	22321
78	2117	22278
79	2142	22224
80	2167	22186
81	2192	22140
82	2218	22100
83	2242	22055
84	2266	22000
85	2291	21952
86	2315	21906
87	2340	21860
88	2363	21804
89	2389	21767
90	2416	21746
91	2443	21721
92	2468	21685
93	2495	21664
94	2524	21653
95	2556	21677
96	2587	21689
97	2619	21706
98	2648	21697
99	2674	21661
100	2698	21613
101	2728	21617
102	2755	21586
103	2783	21574
104	2811	21554
105	2838	21527
106	2864	21498
107	2890	21465
108	2916	21433
109	2939	21377
110	2961	21319
111	2985	21268
112	3008	21218
113	3031	21166
114	3054	21116
115	3077	21061
116	3098	20997
117	3118	20934
118	3141	20882
119	3162	20817
120	3183	20756
121	3206	20713
122	3235	20702
123	3278	20781
124	3309	20786
125	3330	20724
126	3353	20672
127	3374	20613
128	3396	20564
129	3416	20500
130	3439	20454
131	3465	20422
132	3492	20405
133	3524	20411
134	3547	20363
135	3570	20320
136	3591	20265
137	3611	20204
138	3631	20141
139	3651	20083
140	3676	20053
141	3698	20002
142	3720	19953
143	3740	19899
144	3761	19845
145	3783	19798
146	3804	19748
147	3826	19703
148	3851	19668
149	3873	19627
150	3894	19574
151	3916	19529
152	3938	19487
153	3963	19456
154	3987	19423
155	4008	19376
156	4031	19337
157	4052	19288
158	4074	19243
159	4095	19197
160	4117	19154
161	4138	19109
162	4161	19071
163	4184	19034
164	4207	18998
165	4227	18949
166	4249	18906
167	4269	18857
168	4289	18809
169	4316	18789
170	4339	18753
171	4365	18732
172	4389	18698
173	4414	18674
174	4440	18648
175	4464	18617
176	4490	18594
177	4511	18552
178	4531	18506
179	4553	18467
180	4574	18425
181	4598	18393
182	4623	18369
183	4649	18343
184	4672	18311
185	4696	18279
186	4718	18241
187	4740	18205
188	4761	18165
189	4783	18125
190	4803	18082
191	4826	18047
192	4848	18012
193	4873	17985
194	4897	17957
195	4922	17932
196	4948	17910
197	4973	17883
198	4997	17855
199	5021	17827
200	5043	17790
201	5064	17751
202	5084	17708
203	5106	17671
204	5130	17643
205	5152	17607
206	5176	17580
207	5201	17555
208	5226	17530
209	5253	17511
210	5277	17483
211	5297	17440
212	5317	17401
213	5337	17358
214	5361	17332
215	5384	17300
216	5408	17272
217	5432	17243
218	5457	17220
219	5479	17185
220	5501	17153
221	5524	17120
222	5546	17086
223	5568	17054
224	5588	17014
225	5609	16976
226	5631	16944
227	5654	16913
228	5676	16881
229	5700	16854
230	5725	16829
231	5748	16799
232	5771	16768
233	5795	16741
234	5820	16718
235	5846	16696
236	5869	16667
237	5892	16637
238	5913	16601
239	5933	16563
240	5953	16526
241	5974	16491
242	5995	16455
243	6016	16421
244	6038	16390
245	6059	16356
246	6085	16334
247	6106	16301
248	6128	16269
249	6149	16233
250	6170	16199
251	6191	16165
252	6213	16135
253	6237	16108
254	6258	16076
255	6280	16044
256	6304	16018
257	6327	15990
258	6352	15967
259	6375	15938
260	6398	15910
261	6421	15882
262	6446	15858
263	6471	15836
264	6496	15813
265	6521	15789
266	6542	15754
267	6563	15722
268	6584	15690
269	6607	15661
270	6628	15629
271	6649	15597
272	6670	15564
273	6690	15530
274	6714	15503
275	6736	15473
276	6760	15449
277	6783	15420
278	6803	15388
279	6825	15357
280	6848	15330
281	6869	15297
282	6890	15266
283	6913	15238
284	6934	15207
285	6955	15176
286	6974	15140
